"OBS","IP","M1","TB3","FF","PPI"
"1959M01",36,138.8999938964844,2.836999893188477,2.480000019073486,33.20000076293945
"1959M02",36.70000076293945,139.3999938964844,2.711999893188477,2.400000095367432,33.20000076293945
"1959M03",37.20000076293945,139.6999969482422,2.851999998092651,2.799999952316284,33.20000076293945
"1959M04",38,139.6999969482422,2.960000038146973,2.960000038146973,33.20000076293945
"1959M05",38.59999847412109,140.6999969482422,2.851000070571899,2.900000095367432,33.20000076293945
"1959M06",38.59999847412109,141.1999969482422,3.246999979019165,3.390000104904175,33.09999847412109
"1959M07",37.70000076293945,141.6999969482422,3.243000030517578,3.440000057220459,33.09999847412109
"1959M08",36.40000152587891,141.8999938964844,3.358000040054321,3.5,33
"1959M09",36.40000152587891,141,3.997999906539917,3.759999990463257,33.40000152587891
"1959M10",36.09999847412109,140.5,4.117000102996826,3.980000019073486,33.09999847412109
"1959M11",36.29999923706055,140.3999938964844,4.209000110626221,4,33
"1959M12",38.59999847412109,140,4.572000026702881,3.990000009536743,33
"1960M01",39.59999847412109,140,4.435999870300293,3.990000009536743,33.20000076293945
"1960M02",39.20000076293945,139.8999938964844,3.953999996185303,3.97000002861023,33.09999847412109
"1960M03",38.90000152587891,139.8000030517578,3.438999891281128,3.839999914169312,33.40000152587891
"1960M04",38.59999847412109,139.6000061035156,3.24399995803833,3.920000076293945,33.40000152587891
"1960M05",38.5,139.6000061035156,3.391999959945679,3.849999904632568,33.29999923706055
"1960M06",38.09999847412109,139.6000061035156,2.641000032424927,3.319999933242798,33.29999923706055
"1960M07",37.90000152587891,140.1999969482422,2.395999908447266,3.230000019073486,33.5
"1960M08",37.90000152587891,141.3000030517578,2.28600001335144,2.980000019073486,33.40000152587891
"1960M09",37.5,141.1999969482422,2.489000082015991,2.599999904632568,33.40000152587891
"1960M10",37.40000152587891,140.8999938964844,2.426000118255615,2.47000002861023,33.70000076293945
"1960M11",36.90000152587891,140.8999938964844,2.384000062942505,2.440000057220459,33.70000076293945
"1960M12",36.20000076293945,140.6999969482422,2.272000074386597,1.980000019073486,33.59999847412109
"1961M01",36.29999923706055,141.1000061035156,2.302000045776367,1.450000047683716,33.70000076293945
"1961M02",36.20000076293945,141.6000061035156,2.407999992370606,2.539999961853027,33.70000076293945
"1961M03",36.40000152587891,141.8999938964844,2.420000076293945,2.019999980926514,33.59999847412109
"1961M04",37.20000076293945,142.1000061035156,2.32699990272522,1.5,33.29999923706055
"1961M05",37.70000076293945,142.6999969482422,2.288000106811523,1.980000019073486,33.20000076293945
"1961M06",38.29999923706055,142.8999938964844,2.358999967575073,1.730000019073486,33.20000076293945
"1961M07",38.70000076293945,142.8999938964844,2.267999887466431,1.159999966621399,33.29999923706055
"1961M08",39.09999847412109,143.5,2.401999950408936,2,33.40000152587891
"1961M09",39,143.8000030517578,2.303999900817871,1.879999995231628,33.29999923706055
"1961M10",39.79999923706055,144.1000061035156,2.349999904632568,2.259999990463257,33.29999923706055
"1961M11",40.40000152587891,144.8000030517578,2.45799994468689,2.619999885559082,33.40000152587891
"1961M12",40.70000076293945,145.1999969482422,2.617000102996826,2.329999923706055,33.40000152587891
"1962M01",40.40000152587891,145.1999969482422,2.746000051498413,2.140000104904175,33.59999847412109
"1962M02",41.09999847412109,145.6999969482422,2.752000093460083,2.369999885559082,33.59999847412109
"1962M03",41.29999923706055,146,2.719000101089478,2.700000047683716,33.5
"1962M04",41.40000152587891,146.3999938964844,2.734999895095825,2.690000057220459,33.40000152587891
"1962M05",41.29999923706055,146.8000030517578,2.694000005722046,2.289999961853027,33.29999923706055
