"OBS","G","GV"
"1917M08",NA,NA
"1917M09",19.2311808190132,NA
"1917M10",28.5914821116323,NA
"1917M11",15.7308511546542,NA
"1917M12",41.8559554789348,NA
"1918M01",-10.7010865203745,NA
"1918M02",-7.78834486317574,NA
"1918M03",27.6284019772153,NA
"1918M04",14.5951689728372,NA
"1918M05",-6.40001517043514,NA
"1918M06",13.6315665240465,NA
"1918M07",20.5866378455788,NA
"1918M08",40.6913115365696,NA
"1918M09",65.3276922609781,NA
"1918M10",56.5197905917953,NA
"1918M11",12.0703060161433,NA
"1918M12",14.6165022682452,NA
"1919M01",-47.6654903378073,NA
"1919M02",-30.103619463506,NA
"1919M03",2.58064615587452,NA
"1919M04",7.19642336684903,NA
"1919M05",-7.45423838556549,NA
"1919M06",-12.9618888245567,NA
"1919M07",1.30250745448217,NA
"1919M08",4.41798008505154,NA
"1919M09",19.5544635703562,NA
"1919M10",29.4941850483815,NA
"1919M11",25.1343890707748,NA
"1919M12",32.239308706312,NA
"1920M01",-26.6437587804541,NA
"1920M02",13.0357347088455,NA
"1920M03",26.8286968480581,NA
"1920M04",-6.12006034274319,NA
"1920M05",9.87079596124829,NA
"1920M06",7.93159963803189,NA
"1920M07",6.95519721420244,NA
"1920M08",7.14493611821405,NA
"1920M09",20.7314126302428,NA
"1920M10",16.3756163047214,NA
"1920M11",-2.45330445081704,NA
"1920M12",-0.893355708484922,NA
"1921M01",-58.8386808651929,NA
"1921M02",-32.8266257185399,NA
"1921M03",-14.313320408491,NA
"1921M04",-31.1513166345808,NA
"1921M05",-9.0509542843578,NA
"1921M06",-27.0534639466871,NA
"1921M07",-20.5667253628012,NA
"1921M08",-22.7972396354398,NA
"1921M09",-5.09554905774134,NA
"1921M10",-8.36052376121108,NA
"1921M11",-13.061353438108,NA
"1921M12",12.2491706659871,NA
"1922M01",-52.8744275681833,NA
"1922M02",-21.7045421893728,NA
"1922M03",9.18664773759392,NA
"1922M04",-0.286020737857306,NA
"1922M05",-9.18884604759729,NA
"1922M06",-6.06864628733517,NA
"1922M07",4.04917231630604,NA
"1922M08",1.44282811658796,NA
"1922M09",29.6241011314058,NA
"1922M10",25.334428952486,NA
"1922M11",7.6888134900007,NA
"1922M12",41.9585548890503,NA
"1923M01",-39.7707694152323,NA
"1923M02",-1.91409405970004,NA
"1923M03",11.1679389656541,NA
"1923M04",4.87035617823057,NA
"1923M05",8.87796897773425,NA
"1923M06",4.01382914084163,NA
"1923M07",8.78344833083151,NA
"1923M08",5.55617793415424,NA
"1923M09",17.8169211854525,NA
"1923M10",10.3582861542458,NA
"1923M11",3.09013046296602,NA
"1923M12",29.9698116589106,NA
